UnitName	Eridani Light Horse
#Index	PLT_Name	PLT_Nick	CO_Name	CO_Nick	BN_Name	BN_Nick	REG_Name	REG_Nick	Rank	Name	Quality	Unit	State	Notes
0	Command		High Command		-		-		Brevit General	Nathan L. Armstrong	4	Atlas AS7-D	N	
1	Command		High Command		-		-		Major	Wendall F. TeCarr	3	Archer ARC-2R	N	
2	Command		High Command		-		-		Major	Major David Reese	3	Phoenix Hawk PXH-1	N	
3	Jumpship Group		High Command		-		-		-		2	Monolith JumpShip (Standard)	N	
4	Jumpship Group		High Command		-		-		-		2	Monolith JumpShip (Standard)	N	
5	Jumpship Group		High Command		-		-		-		2	Monolith JumpShip (Standard)	N	
6	Jumpship Group		High Command		-		-		-		2	Star Lord JumpShip (Standard)	N	
7	Jumpship Group		High Command		-		-		-		2	Star Lord JumpShip (Standard)	N	
8	Jumpship Group		High Command		-		-		-		2	Star Lord JumpShip (Standard)	N	
9	Jumpship Group		High Command		-		-		-		2	Invader JumpShip (Standard)	N	
10	Jumpship Group		High Command		-		-		-		2	Invader JumpShip (Standard)	N	
11	Jumpship Group		High Command		-		-		-		2	Invader JumpShip (Standard)	N	
12	Jumpship Group		High Command		-		-		-		2	Invader JumpShip (Standard)	N	
13	Jumpship Group		High Command		-		-		-		2	Invader JumpShip (Standard)	N	
14	Jumpship Group		High Command		-		-		-		2	Invader JumpShip (Standard)	N	
15	Dropship Group		High Command		-		-		-		2	Overlord (2762)	N	
16	Dropship Group		High Command		-		-		-		2	Overlord (2762)	N	
17	Dropship Group		High Command		-		-		-		2	Overlord (2762)	N	
18	Dropship Group		High Command		-		-		-		2	Overlord (2762)	N	
19	Dropship Group		High Command		-		-		-		2	Overlord (2762)	N	
20	Dropship Group		High Command		-		-		-		2	Union (2708)	N	
21	Dropship Group		High Command		-		-		-		2	Union (2708)	N	
22	Dropship Group		High Command		-		-		-		2	Union (2708)	N	
23	Dropship Group		High Command		-		-		-		2	Union (2708)	N	
24	Dropship Group		High Command		-		-		-		2	Union (2708)	N	
25	Dropship Group		High Command		-		-		-		2	Union (2708)	N	
26	Dropship Group		High Command		-		-		-		2	Union (2708)	N	
27	Dropship Group		High Command		-		-		-		2	Union (2708)	N	
28	Dropship Group		High Command		-		-		-		2	Union (2708)	N	
29	Dropship Group		High Command		-		-		-		2	Union (2708)	N	
30	Dropship Group		High Command		-		-		-		2	Leopard (2537)	N	
31	Dropship Group		High Command		-		-		-		2	Excaliber (2786)	N	
32	Dropship Group		High Command		-		-		-		2	Gazelle (2531)	N	
33	Dropship Group		High Command		-		-		-		2	Gazelle (2531)	N	
34	Dropship Group		High Command		-		-		-		2	Gazelle (2531)	N	
35	Dropship Group		High Command		-		-		-		2	Triumph (2593)	N	
36	Dropship Group		High Command		-		-		-		2	Triumph (2593)	N	
37	Tech		High Command		-		-		-		4	1 Tech + Astech Squad	N	
38	Tech		High Command		-		-		-		4	1 Tech + Astech Squad	N	
39	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
40	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
41	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
42	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
43	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
44	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
45	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
46	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
47	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
48	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
49	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
50	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
51	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
52	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
53	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
54	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
55	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
56	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
57	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
58	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
59	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
60	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
61	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
62	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
63	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
64	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
65	Tech		High Command		-		-		-		3	1 Tech + Astech Squad	N	
