UnitName	Kell Hounds
#Index	PLT_Name	PLT_Nick	CO_Name	CO_Nick	BN_Name	BN_Nick	REG_Name	REG_Nick	Rank	Name	Quality	Unit	State	Notes
1	Regimental Command		-		-		Kell Hounds (3029+)			Colonel Morgan F. Kell	4	Archer		
2	Regimental Command		-		-		Kell Hounds (3029+)			Captain Caitlin Shaw	4	ShadowHawk		
3	Regimental Command		-		-		Kell Hounds (3029+)			Sergeant Cat Wilson	4	Marauder		
4	Regimental Command		-		-		Kell Hounds (3029+)			Clifford Carney	3	Crusader		
5	Recon		1st		1st Mech		Kell Hounds (3029+)			Captain Daniel W Allard	4	Wolfhound		
6	Recon		1st		1st Mech		Kell Hounds (3029+)			Meredith Devlin	4	Jenner		
7	Recon		1st		1st Mech		Kell Hounds (3029+)			Paul O'Clare	2	Panther		
8	Recon		1st		1st Mech		Kell Hounds (3029+)			Amber Brennan	2	Panther		
9	Strike		1st		1st Mech		Kell Hounds (3029+)			Lieutenant Don Fitzroy	4	Warhammer		
10	Strike		1st		1st Mech		Kell Hounds (3029+)			Lance Armstrong	2	Ostsol		
11	Strike		1st		1st Mech		Kell Hounds (3029+)			Robin Joyce	3	Griffin		
12	Strike		1st		1st Mech		Kell Hounds (3029+)			Jack Murray	4	Dervish		
13	Light Assault		1st		1st Mech		Kell Hounds (3029+)			Lieutenant Austin Brand	4	Commando		
14	Light Assault		1st		1st Mech		Kell Hounds (3029+)			Sergeant Meg Lang	3	Panther		
15	Light Assault		1st		1st Mech		Kell Hounds (3029+)			Gwyneth Murdoch	2	Panther		
16	Light Assault		1st		1st Mech		Kell Hounds (3029+)			Eddie Baker	3	Jenner		
17	Battalion Command		2nd		1st Mech		Kell Hounds (3029+)			Major Salome Ward	4	Wolverine		
18	Battalion Command		2nd		1st Mech		Kell Hounds (3029+)			Lieutenant Mike Fitzhugh	4	Catapult		
19	Battalion Command		2nd		1st Mech		Kell Hounds (3029+)			Clint Murphy	4	Quickdraw		
20	Battalion Command		2nd		1st Mech		Kell Hounds (3029+)			Brendan O'Reilly	3	Centurion		
21	Assault		2nd		1st Mech		Kell Hounds (3029+)			Lieutenant Anne Finn	4	Orion		
22	Assault		2nd		1st Mech		Kell Hounds (3029+)			Brigit O'Leary	2	Marauder		
23	Assault		2nd		1st Mech		Kell Hounds (3029+)			Roe Dolan	3	Crusader		
24	Assault		2nd		1st Mech		Kell Hounds (3029+)			Mark Flanagan	4	Rifleman		
