UnitName	Kell Hounds
#Index	PLT_Name	PLT_Nick	CO_Name	CO_Nick	BN_Name	BN_Nick	REG_Name	REG_Nick	Rank	Name	Quality	Unit	State	Notes
1	Fire		1st		1st Mech	Relentless Wolves	Kell Hounds (<=3016)		Major	Salome Ward	2	Wolverine	N	
2	Fire		1st		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Lee Kennedy	2	Shadow Hawk	N	
3	Fire		1st		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Brian Martell	2	Dervish	N	
4	Fire		1st		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Judith Nesmith	2	Trebuchet	N	
5	Assault		1st		1st Mech	Relentless Wolves	Kell Hounds (<=3016)		Lieutenant	Drugi Fleming	2	Whitworth	N	
6	Assault		1st		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Andre Lamont	2	Blackjack	N	
7	Assault		1st		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Nathan Mack	2	Phoenix Hawk	N	
8	Assault		1st		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Stuart O'Grady	2	Phoenix Hawk	N	
9	Scout/Recon		1st		1st Mech	Relentless Wolves	Kell Hounds (<=3016)		Lieutenant	Daniel W. Allard	1	Valkyrie	N	
10	Scout/Recon		1st		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Sally "She-Devil" Kristi	1	Panther	N	
11	Scout/Recon		1st		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Tia Forsythe	2	Ostscout	N	
12	Scout/Recon		1st		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Sarah Jette	2	Jenner	N	
13	Battalion Command		2nd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)		Lieutenant Colonel	Patrick M. Kell	3	Thunderbolt	N	
14	Battalion Command		2nd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)		Captain	Scott Bradley	3	Marauder	N	
15	Battalion Command		2nd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)		Sergeant	Cat Wilson	3	Marauder	N	
16	Battalion Command		2nd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Kevin O'Dell	2	Ostsol	N	
17	Scout/Recon		2nd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)		Lieutenant	Kent Murphy	2	Firestarter	N	
18	Scout/Recon		2nd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Meredith Devin	2	Jenner	N	
19	Scout/Recon		2nd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Minda Hayward	1	Cicada	N	
20	Scout/Recon		2nd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Gregory Maley	1	Spider	N	
21	Strike		2nd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)		Lieutenant	Caitlin Shaw	3	Shadow Hawk	N	
22	Strike		2nd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Carl Oakes	2	Enforcer	N	
23	Strike		2nd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Stephen Patton	3	Hunchback	N	
24	Strike		2nd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Laurel Quinn	3	Griffin	N	
25	Heavy Assault		3rd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)		Captain	Conn O'Bannon	3	Orion	N	
26	Heavy Assault		3rd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Don Fitzroy	3	Warhammer	N	
27	Heavy Assault		3rd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Wilbur Landry	3	Ostsol	N	
28	Heavy Assault		3rd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Veronica North	3	Grasshopper	N	
29	Fire		3rd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)		Lieutenant	Walter de Mesnii	2	Blackjack	N	
30	Fire		3rd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Tristan Tunney	1	Whitworth	N	
31	Fire		3rd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Vania Bolin	2	Clint	N	
32	Fire		3rd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Bruce Keene	2	Vindicator	N	
33	Assault		3rd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)		Lieutenant	Paul Klintworth	2	Rifleman	N	
34	Assault		3rd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Roland Carpenter	2	JagerMech	N	
35	Assault		3rd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Lynn Drake	2	Ostroc	N	
36	Assault		3rd		1st Mech	Relentless Wolves	Kell Hounds (<=3016)			Grant Hill	2	Dragon	N	
37	Assault		1st		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)		Captain	Carroll O'Cathain	3	Crusader	N	
38	Assault		1st		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Michael Kiltartan	2	Warhammer	N	
39	Assault		1st		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Rich O'Hare	2	JagerMech	N	
40	Assault		1st		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Hypatia Donahue	3	Catapult	N	
41	Fire		1st		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)		Lieutenant	Jane Neary	2	Clint	N	
42	Fire		1st		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Julian Goodrich	2	Vulcan	N	
43	Fire		1st		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Robert Cross	3	Enforcer	N	
44	Fire		1st		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Robin Buckley	2	Dervish	N	
45	Recon		1st		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)		Lieutenant	Jim Morrell	3	Jenner	N	
46	Recon		1st		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Kevin Connor	2	Valkyrie	N	
47	Recon		1st		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Estyn Burns	2	UrbanMech	N	
48	Recon		1st		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Erin Finney	3	Jenner	N	
49	Battalion Command		2nd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)		Colonel	Morgan F. Kell	3	Archer	N	
50	Battalion Command		2nd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)		Major	Haley Murdoch	3	Zeus	N	
51	Battalion Command		2nd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Dace Armstrong	2	Ostsol	N	
52	Battalion Command		2nd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Clifford Carney	2	Crusader	N	
53	Fire		2nd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)		Lieutenant	Timothy Moriarty	2	Centurion	N	
54	Fire		2nd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Damon Crowley	2	Phoenix Hawk	N	
55	Fire		2nd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Marja Duncan	1	Blackjack	N	
56	Fire		2nd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Colin Foley	1	Whitworth	N	
57	Assault		2nd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)		Captain	Graeme Sarsfield	3	Orion	N	
58	Assault		2nd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Brogan Casey	2	Griffin	N	
59	Assault		2nd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Mojaq Kildeer	3	Hunchback	N	
60	Assault		2nd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Wayland Smith	2	Scorpion	N	
61	Long Range Recon Patrol		3rd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)		Captain	Jeremiah Youngblood	3	Phoenix Hawk LAM	N	
62	Long Range Recon Patrol		3rd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Frances Calley	2	Stinger LAM	N	
63	Long Range Recon Patrol		3rd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Lara Doyle	2	Stinger LAM	N	
64	Long Range Recon Patrol		3rd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Barney O'Leary	3	Wasp LAM	N	
65	Assault		3rd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)		Lieutenant	Will O'Halloran	2	Warhammer	N	
66	Assault		3rd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Peggy Fitzmartin	2	Crusader	N	
67	Assault		3rd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Patricia O'Lochlainn	2	Catapult	N	
68	Assault		3rd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Liz Donovan	2	Quickdraw	N	
69	Recon		3rd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)		Lieutenant	Chloe King	2	Panther	N	
70	Recon		3rd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Robert O'Toole	3	Firestarter	N	
71	Recon		3rd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Logan O'Toole	2	Commando	N	
72	Recon		3rd		2nd Mech	Relentless Wolves	Kell Hounds (<=3016)			Victoria Allen	1	Jenner	N	
73	Air Lance		1st		Aerofighter Battalion		Kell Hounds (<=3016)		Major	Seamus Fitzpatrick	3	Shilone	N	
74	Air Lance		1st		Aerofighter Battalion		Kell Hounds (<=3016)			Patrick McMahan	2	Shilone	N	
75	Air Lance		1st		Aerofighter Battalion		Kell Hounds (<=3016)		Lieutenant	Andy Griffin	2	Slayer	N	
76	Air Lance		1st		Aerofighter Battalion		Kell Hounds (<=3016)			Karen O'Shannon	2	Slayer	N	
77	Air Lance		1st		Aerofighter Battalion		Kell Hounds (<=3016)		Lieutenant	Marie d'Or	3	Shilone	N	
78	Air Lance		1st		Aerofighter Battalion		Kell Hounds (<=3016)			William Hanrahan	2	Shilone	N	
79	Air Lance		2nd		Aerofighter Battalion		Kell Hounds (<=3016)		Captain	Adam Fox	2	Riever	N	
80	Air Lance		2nd		Aerofighter Battalion		Kell Hounds (<=3016)			Sean O'Brien	2	Riever	N	
81	Air Lance		2nd		Aerofighter Battalion		Kell Hounds (<=3016)		Lieutenant	Robert MacFinn	3	Chippewa	N	
