UnitName	Wolf's Dragoons
#Index	PLT_Name	PLT_Nick	CO_Name	CO_Nick	BN_Name	BN_Nick	REG_Name	REG_Nick	Rank	Name	Quality	Unit	State	Notes
0	Dropship		-		-		Alpha		-	Chieftain	-	Overlord	N	
1	Dropship		-		-		Alpha		-	Talleyrand	-	Overlord	N	
2	Dropship		-		-		Alpha		-	Mentasta	-	Union	N	
3	Dropship		-		-		Alpha		-	Gloire	-	Union	N	
4	Dropship		-		-		Alpha		-	Preussen	-	Union	N	
5	1st Motorized Infantry (Laser)		Command		-		-		Lieutenant	Austin Purlow	4	Motorized Infantry (Laser)	N	
6	1st Motorized Infantry (Laser)		Command		-		-		Sergeant	Harold Putnam	4	Motorized Infantry (Laser)	N	
7	1st Motorized Infantry (Laser)		Command		-		-		Corporal	Mina Iorcuzi	4	Motorized Infantry (Laser)	N	
8	1st Motorized Infantry (Laser)		Command		-		-		Corporal	Walter Almee	3	Motorized Infantry (Laser)	N	
9	1st Motorized Infantry (Laser)		Command		-		-		Corporal	Buddy Lee Bobob	3	Motorized Infantry (Laser)	N	
10	2nd Motorized Infantry (Laser)		Command		-		-		Lieutenant	Jacob "Chesty" Wildmon	4	Motorized Infantry (Laser)	N	
11	2nd Motorized Infantry (Laser)		Command		-		-		Sergeant	Darlene Char	4	Motorized Infantry (Laser)	N	
12	2nd Motorized Infantry (Laser)		Command		-		-		Corporal	Lawrence Landro	4	Motorized Infantry (Laser)	N	
13	2nd Motorized Infantry (Laser)		Command		-		-		Corporal	Inez Maguire	4	Motorized Infantry (Laser)	N	
14	2nd Motorized Infantry (Laser)		Command		-		-		Corporal	Bertram Allard	3	Motorized Infantry (Laser)	N	
15	Artillery Lance 1		Command		-		-		Lieutenant	Elizabeth Layton	3	Long Tom Artillery	N	
16	Artillery Lance 1		Command		-		-		Lieutenant	Norton Sirelli	3	Long Tom Artillery	N	
17	Artillery Lance 1		Command		-		-		Lieutenant	Beth Danzell	3	Long Tom Artillery	N	
18	Artillery Lance 1		Command		-		-		Captain	Harriett Ciroz	4	Packrat	N	
19	Artillery Lance 1		Command		-		-		Lieutenant	Marcus Brewer	3	Sniper Artillery	N	
20	Artillery Lance 2		Command		-		-		Lieutenant	Kathy Lipscomb	4	Long Tom Artillery	N	
21	Artillery Lance 2		Command		-		-		Captain	Fadol Fadoul	4	Packrat	N	
22	Artillery Lance 2		Command		-		-		Lieutenant	Janice Haaken	4	Sniper Artillery	N	
23	Artillery Lance 2		Command		-		-		Lieutenant	Brooks Gunsel	4	Sniper Artillery	N	
24	Artillery Lance 2		Command		-		-		Lieutenant	Gene Mandamaker	3	Sniper Artillery	N	
25	Command		Command		-		-		Colonel	Jaime Wolf	4	Archer	N	
26	Command		Command		-		-		Captain	William Cameron	4	Hermes II	N	Took 2 months to modify Hermes II to replace the Cyclops and its important C3 systems.  Killed by DEST warrior on crossing.
27	Command		Command		-		-		Major	Olga Kormenski	4	Marauder	N	
28	Command		Command		-		-		Lieutenant	Hans Vordel	4	Thunderbolt	N	
29	Command Lance		2nd Provisional Company		-		Alpha		Major	Coshasa DuKirk	4	Crusader	N	
30	Command Lance		2nd Provisional Company		-		Alpha		Lieutenant	Vincent Timmons	4	Cyclops	N	
31	Command Lance		2nd Provisional Company		-		Alpha		-	James Buck	3	Ostroc	N	
32	Command Lance		2nd Provisional Company		-		Alpha		-	Leslie Grubbick	3	Ostsol	N	
33	Fire Lance		2nd Provisional Company		-		Alpha		Sergeant	Kerry Tennler	3	Catapult	N	
34	Fire Lance		2nd Provisional Company		-		Alpha		-	Ernest Cameron	3	Enforcer	N	
35	Fire Lance		2nd Provisional Company		-		Alpha		Lieutenant	Roxanne Tyne	4	Griffin	N	
