UnitName	Wolf's Dragoons
#Index	PLT_Name	PLT_Nick	CO_Name	CO_Nick	BN_Name	BN_Nick	REG_Name	REG_Nick	Rank	Name	Quality	Unit	State	Notes
0	Dropship		-		-		Gamma		-	Orca	-	Intruder	N	
1	Dropship		-		-		Gamma		-	Phoenix	-	Overlord	N	
2	Dropship		-		-		Gamma		-	Cetawayo	-	Union	N	
3	Dropship		-		-		Gamma		-	Bellingham	-	Union	N	
4	Dropship		-		-		Gamma		-	Dunnigan	-	Union	N	
5	Dropship		-		-		Gamma		-	Addiscombe	-	Union	N	
6	Dropship		-		-		Gamma		-	Bellatrix	-	Union	N	
7	Dropship		-		-		Gamma		-	Graf Berek	-	Union	N	
8	Regimental Command Lance		-		-		Gamma		Colonel	Wilhelmina Korsht	4	Marauder II	N	
9	Regimental Command Lance		-		-		Gamma		-	Hal Blumberg	4	Blackjack	N	
10	Regimental Command Lance		-		-		Gamma		Lieutenant	Jeremy Barron	4	Griffin	N	
11	Regimental Command Lance		-		-		Gamma		Sergeant	Theodora Del Floro	4	Imp	N	
12	Command Lance		1st Provisional Company		-		Gamma		Lieutenant	Norah Jane Stokes	4	Griffin	N	
13	Command Lance		1st Provisional Company		-		Gamma		-	Hal Meskline	3	Thunderbolt	N	
14	Command Lance		1st Provisional Company		-		Gamma		-	Torvald Vanney	3	Trebuchet	N	
15	Command Lance		1st Provisional Company		-		Gamma		Captain	Mohammad Raisul	4	Orion	N	
16	Heavy Lance		1st Provisional Company		-		Gamma		Lieutenant	Harold Spim	4	Catapult	N	
17	Heavy Lance		1st Provisional Company		-		Gamma		Sergeant	Simon Prosser	4	Crusader	N	
18	Heavy Lance		1st Provisional Company		-		Gamma		-	Shelton Woolrich	3	Crusader	N	
19	Heavy Lance		1st Provisional Company		-		Gamma		-	Wallace Chagall	3	Firefly	N	
20	Recon Lance		1st Provisional Company		-		Gamma		-	Maurice Frenn	4	Falcon	N	
21	Recon Lance		1st Provisional Company		-		Gamma		Lieutenant	Samantha "Misty" Ryker	4	Panther	N	
22	Recon Lance		1st Provisional Company		-		Gamma		Sergeant	Gary Himmer	4	Stinger	N	
23	Recon Lance		1st Provisional Company		-		Gamma		-	Ludwig Ralst	3	Wasp	N	
24	Assault Lance		2nd Provisional Company		-		Gamma		-	Conrad Crispwell	4	Catapult	N	
25	Assault Lance		2nd Provisional Company		-		Gamma		Sergeant	Tedra McDonnell	4	Marauder II	N	
26	Assault Lance		2nd Provisional Company		-		Gamma		-	Omar Fazio	3	Shogun	N	
27	Assault Lance		2nd Provisional Company		-		Gamma		Lieutenant	Stanley Seleen	4	Warhammer	N	
28	Command Lance		2nd Provisional Company		-		Gamma		Sergeant	Irwin Tyrell	4	Cataphracht	N	
29	Command Lance		2nd Provisional Company		-		Gamma		-	Sylvan Greenspan	4	Orion	N	
30	Command Lance		2nd Provisional Company		-		Gamma		Lieutenant	John Parker	4	Archer	N	
31	Command Lance		2nd Provisional Company		-		Gamma		Captain	Roger Singh	4	Marauder	N	
