UnitName	Wolf's Dragoons
#Index	PLT_Name	PLT_Nick	CO_Name	CO_Nick	BN_Name	BN_Nick	REG_Name	REG_Nick	Rank	Name	Quality	Unit	State	Notes
0	Command	Wolf's Guard	Command	-	-	-	-	-	Colonel	Jaime Wolf	4	Archer ARC-2W	N	
1	Command	Wolf's Guard	Command	-	-	-	-	-	Captain	William Cameron	4	Cyclops CP-10-Q	N	Took 2 months to modify Hermes II to replace the Cyclops and its important C3 systems.  Killed by DEST warrior on crossing.
2	Command	Wolf's Guard	Command	-	-	-	-	-	Lieutenant	Sheila Selden	4	Wasp LAM WSP-105	N	
3	Command	Wolf's Guard	Command	-	-	-	-	-	Lieutenant	Hans Vordel	4	Victor VTR-9B	N	
4	Command	Wolf's Guard	Command	-	-	-	-	-	Major	Stanford Blake	4	Phoenix Hawk LAM PHX-HK2	N	
5	Command	Wolf's Guard	Command	-	-	-	-	-	Major	Olga Kormenski	4	Marauder MAD-3R	N	
6	1st Motorized Infantry (Laser)	-	Command	-	-	-	-	-	Corporal	Mina Iorcuzi	4	Motorized Platoon (Laser)	N	
7	1st Motorized Infantry (Laser)	-	Command	-	-	-	-	-	Corporal	Walter Almee	3	Motorized Platoon (Laser)	N	
8	1st Motorized Infantry (Laser)	-	Command	-	-	-	-	-	Corporal	Buddy Lee Bobob	3	Motorized Platoon (Laser)	N	
9	1st Motorized Infantry (Laser)	-	Command	-	-	-	-	-	Lieutenant	Austin Purlow	4	Motorized Platoon (Laser)	N	
10	1st Motorized Infantry (Laser)	-	Command	-	-	-	-	-	Sergeant	Harold Putnam	4	Motorized Platoon (Laser)	N	
11	2nd Motorized Infantry (Laser)	-	Command	-	-	-	-	-	Corporal	Lawrence Landro	4	Motorized Platoon (Laser)	N	
12	2nd Motorized Infantry (Laser)	-	Command	-	-	-	-	-	Corporal	Inez Maguire	4	Motorized Platoon (Laser)	N	
13	2nd Motorized Infantry (Laser)	-	Command	-	-	-	-	-	Corporal	Bertram Allard	3	Motorized Platoon (Laser)	N	
14	2nd Motorized Infantry (Laser)	-	Command	-	-	-	-	-	Lieutenant	Jacob "Chesty" Wildmon	4	Motorized Platoon (Laser)	N	
15	2nd Motorized Infantry (Laser)	-	Command	-	-	-	-	-	Sergeant	Darlene Char	4	Motorized Platoon (Laser)	N	
16	Artillery Lance 1	-	Command	-	-	-	-	-	Captain	Harriett Ciroz	4	Packrat LRPV PKR-T5	N	
17	Artillery Lance 1	-	Command	-	-	-	-	-	Lieutenant	Elizabeth Layton	3	Mobile Long Tom Artillery LT-MOB-25	N	
18	Artillery Lance 1	-	Command	-	-	-	-	-	Lieutenant	Norton Sirelli	3	Mobile Long Tom Artillery LT-MOB-25	N	
19	Artillery Lance 1	-	Command	-	-	-	-	-	Lieutenant	Beth Danzell	3	Mobile Long Tom Artillery LT-MOB-25	N	
20	Artillery Lance 1	-	Command	-	-	-	-	-	Lieutenant	Marcus Brewer	3	Sniper Artillery Tank (Standard)	N	
21	Artillery Lance 2	-	Command	-	-	-	-	-	Captain	Fadol Fadoul	4	Packrat LRPV PKR-T5	N	
